Survey Information
ID,23
Title,eNPS March 2025
Created At,2025-03-17 03:21:16
Buyer Name,Johnny & Jugnu

Employee Statistics
Total Filtered Employees,631
Employees With Responses,454
Pending Employees,177

Response Number,Branch,Designation,Employment type,Time spent with company,"I feel comfortable approaching my Branch Leader when I have doubts or concerns. 
",My Branch Leader takes timely and effective action on employee concerns,I do not feel comfortable reporting workplace issues due to fear of retaliation from management.,My Branch Leader is actively present and engaged in daily operations.,My Branch Leader regularly recognises and appreciates good performance during shifts.,"My Branch Leader clearly communicates company policies, strategies, and changes.",I have always been treated with fairness and respect. ,I feel mentally and emotionally comfortable in my branch.,My colleagues support me during both good and difficult times.,"I feel my workplace is free from verbal, physical or emotional mistreatment.",My colleagues do not make inappropriate comments about my personal or physical attributes.,I feel accepted as part of my team. ,"Everyone at my branch is given equal opportunities for hiring, feedback, and support.",I feel like the workload is fairly distributed among team members,Promotions and career growth at JJ are based on skills and performance rather than favouritism.,I consistently receive constructive feedback from my Manager that helps me improve my performance.,My Manager consistently provides me with guidance for my growth and development.,"I understand JJ’s core values [be the best, empathy, we are one, resilience, happiness, sincerity, homie and innovation] and can apply them in my personal and professional life.",I am satisfied with my salary,I am satisfied with the perks and benefits provided by the Company.,My HR Team is approachable and addresses my concerns in a timely manner.,My company invests in my training and helps me grow in my job,I feel inspired by my training team to be better.,The training I received from my training team helped me do my job better.,"I feel that workplace safety standards and protocols are properly followed, and I feel physically safe at work.","On a scale of 1 to 10, how likely are you to recommend JJ as a workplace to your friends and family? ",What improvements would enhance your experience at JJ?
Response_11,Emporium Branch,Crew,Contractual,3-6 months,3. agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,"Keep it up well done 👍 
"
Response_12,Emporium Branch,Crew,Contractual,0-3 months,3. agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,"JJ Bahut Axha Brand H 
Mujhe Yahan Apni Growth Nazar Arahi Ha"
Response_13,Emporium Branch,Crew,Contractual,0-3 months,4. strongly agree,4. Strongly Agree,2. Disagree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,1. Strongly Disagree,3. Agree,3. Agree,4. Strongly Agree,2. Disagree,3. Agree,Floor design dull or Inventory HACCP poor 
Response_14,Emporium Branch,Crew,Part time,3-6 months,4. strongly agree,4. Strongly Agree,2. Disagree,3. Agree,3. Agree,3. Agree,2. Disagree,3. Agree,2. Disagree,3. Agree,1. Strongly Disagree,3. Agree,3. Agree,3. Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,1. Strongly Disagree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,9,part timer ko koi bonus nhi dia Jata aur na hi fuel ky paise diye jate h
Response_15,Emporium Branch,Crew,Permanent,More than 3 years,3. agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,2. Disagree,3. Agree,3. Agree,3. Agree,2. Disagree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,1. Strongly Disagree,"8, 9",Fuel allowance should be given to male crew also 
Response_16,Emporium Branch,Crew,Contractual,6 months to 1 year,3. agree,3. Agree,2. Disagree,2. Disagree,2. Disagree,3. Agree,2. Disagree,3. Agree,2. Disagree,2. Disagree,1. Strongly Disagree,4. Strongly Agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,1. Strongly Disagree,9,Ma chahta ho k Jo out of country say haan un ko company rehaish di jay 
Response_17,Emporium Branch,Crew,Part time,0-3 months,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,9,"I think , jj me End of every month activity honey chay like sports , pori team Kay sath koi b ak function wagera huna chay , some guys like tu singing, so unhy opportunity milni chay "
Response_18,Emporium Branch,Crew,Contractual,More than 1 year,3. agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,2. Disagree,2. Disagree,1. Strongly Disagree,3. Agree,2. Disagree,4. Strongly Agree,3. Agree,2. Disagree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,1. Strongly Disagree,"1 = Not at all likely, 9",Please give us fuel and madical allowance s . and also make facilities improvements 
Response_19,Emporium Branch,Crew,Contractual,0-3 months,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,1. Strongly Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3,Sir I want to say that please improve the food meal so we feel better physically 
Response_20,Emporium Branch,Crew,Contractual,0-3 months,1. strongly disagree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,1. Strongly Disagree,1. Strongly Disagree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,9,In here the company girls are very annoying in d unbearable because they don't give proper respect to male employees and always verbally harass the male employees 
Response_21,Emporium Branch,Crew,Part time,6 months to 1 year,2. disagree,3. Agree,2. Disagree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,2. Disagree,2. Disagree,3. Agree,3. Agree,3. Agree,2. Disagree,3. Agree,2. Disagree,2. Disagree,2. Disagree,3. Agree,3. Agree,3. Agree,"Appreciate Infront of crew
Training team proper training nai da rahi
Staf food is highly dissatisfied 
Try to provide meal one's in a weak instant of staff food"
Response_22,Emporium Branch,Crew,Part time,3-6 months,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely Likely,Sb k ha but jo food mlta ha wo bhtr kr dy thnks😊
Response_23,Emporium Branch,Crew,Part time,6 months to 1 year,3. agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,2. Disagree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,3. Agree,2. Disagree,3. Agree,2. Disagree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,"Branch ma ana wala khyana acha daa or part timer ko patrol b diya ja
Ja"
Response_24,Emporium Branch,Crew,Contractual,0-3 months,3. agree,3. Agree,1. Strongly Disagree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely Likely,Crew se ase sessions hote rhne chahiye jis main wo Apne masLe msail btate rhe....
Response_25,Emporium Branch,Crew,Contractual,6 months to 1 year,3. agree,3. Agree,2. Disagree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,"1. First of all Jhonny juggnu jaisa culture AJ sy phlay Kisi brand pay ni dekha 
2. Jitna Jhonny juggnu ma employee relax ho k Kam kr Sakta kisi or branch pay ni 
3. Jhonny juggnu ko chahyie k wo management apnay andr sy hi select kry bahir sy hire na kry ta k employee ka honsla na totay 
4. Bacho ka over time dubara bhaaaal kia jy 
5.hero of the month dubara start kia jy jis ki waja sy bacho may apna Kam karnay may phlay sy zayada interest paida ho 
6.last one k bacho k liay bounces shru kiay jy ta k bacho may Kam karnay ki lagan paida ho Jo bachay sops k mutabiq Kam kry us ko appreciate bi kia jy is trha bacho may learning ka josh paida ho ga"
Response_26,Wehshi Lab,Assistant Branch Leader,Permanent,6 months to 1 year,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,Need advance equipment to enhance productivity 
Response_27,Wehshi Lab,Crew,Contractual,6 months to 1 year,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,3. Agree,"1. Strongly Disagree, 4. Strongly Agree",3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,Some crews are well educated they are studying in universities and they are more applicable than outsiders for promotion because they know culture of Johny @jugno more accurately than outsiders so plz give more opportunities to your crew than outsiders because they are skillful best example is Zeeshan bahi
Response_28,Wehshi Lab,Crew,Contractual,6 months to 1 year,3. agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,"Lights compuny main kam use ho aus sa bill kam aye ga 🫴
Or main apny manger m sa bht happy hun aisy manger har brcach pr ho jasy kay foh main emounel or boh main bilal hassan aisy manger ho to har emloye compuny main happy kam krta haw or 💕







"
Response_29,Emporium Branch,Crew,Permanent,More than 3 years,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,,All good ❤️
Response_30,Emporium Branch,Crew,Contractual,More than 1 year,4. strongly agree,3. Agree,1. Strongly Disagree,4. Strongly Agree,3. Agree,4. Strongly Agree,2. Disagree,2. Disagree,1. Strongly Disagree,2. Disagree,1. Strongly Disagree,2. Disagree,2. Disagree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,1. Strongly Disagree,2. Disagree,3. Agree,3. Agree,3. Agree,"2. Disagree, 3. Agree",3. Agree,10 = Extremely Likely,All best 👌 
Response_31,Emporium Branch,Crew,Contractual,More than 1 year,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,9,All good ❤️❤️❤️❤️
Response_32,Emporium Branch,Crew,Contractual,3-6 months,3. agree,3. Agree,1. Strongly Disagree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,1. Strongly Disagree,2. Disagree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely Likely,There is no favor for out of citi staff and no fuel for boys  staff food was not good 
Response_33,Emporium Branch,Crew,Contractual,6 months to 1 year,3. agree,3. Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,2. Disagree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,1. Strongly Disagree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,10 = Extremely Likely,JJ ko chhaye k apna system thora update kary or jasy humy Smjhaya jata k customer ko acha fresh food dena chahye wasy he humy b khana acha milna chhaye Kabhi hmara khana khrb arha hota kabbi hmary kahny m keery and kabhi kanch nikal raha hota ...Jo k bohat galat bat hai jasy customers hain wash humy b priority milni chhaye ...And Month M at least ak bar humh meal milna chahye ..😇😏🫡☺️🙂
Response_34,Emporium Branch,Crew,Permanent,More than 1 year,3. agree,3. Agree,2. Disagree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,10 = Extremely Likely,Sir kindly jo hamara khana food ata he kindly usko ko behtar kiya jae ke hum log b jese costomer ko happy krte he hum b wese hi wo food ka kr happy hojae or hero of the month wali activety dubara start ki jae 
Response_35,Emporium Branch,Crew,Contractual,3-6 months,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely Likely,Staff food quality is not good....make sure it should be good...plzzzz... other wise everything is ok.....
Response_36,Emporium Branch,Crew,Contractual,6 months to 1 year,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,Staff food quality is not good........make sure it should be good..
Response_37,Emporium Branch,Crew,Part time,3-6 months,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,"10 = Extremely Likely, 9",Overall good but kindly focus on improving employees food.kindly provide weekly or monthly branch side food to employees...😊
Response_38,Wehshi Lab,Crew,Contractual,More than 1 year,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,8 main Kam se Khush hu 
Response_39,Emporium Branch,Crew,Contractual,3-6 months,4. strongly agree,3. Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,10 = Extremely Likely,Staff food qulte are not good 
Response_40,Emporium Branch,Crew,Contractual,More than 1 year,3. agree,3. Agree,1. Strongly Disagree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,9,Staff Food Quality are not Good. And I Suggested please start staff meal because staff want to try all JJ menu Thanks.
Response_41,Emporium Branch,Crew,Contractual,6 months to 1 year,3. agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,2. Disagree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,"Staff food must have vegetables and duty hours maybe less be less
"
Response_42,Wehshi Lab,Crew,Permanent,More than 3 years,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,Sekhan ka or mochy frama Kya jaya tk hmmmy or sekhna  ko Mila saka 
Response_43,Emporium Branch,Crew,Part time,3-6 months,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,9,Over all good but kindly focus on improving employees food kindly provide weekly or monthly branch side food to employees
